ncbi_gene_id,partition_number,claim_name
5336,1,PLCG2
3764,4,KCNJ8
55089,4,SLC38A4
455,4,ASS1P10
9033,4,PKD2L1
89,4,ACTN3
109,4,ADCY3
8858,4,PROZ
154807,4,VKORC1L1
316,4,AOX1
2677,4,GGCX
467,4,ATF3
463,4,ZFHX3
468,4,ATF4
1135,4,CHRNA2
10855,4,HPSE
287,4,ANK2
288,4,ANK3
6518,4,SLC2A5
9123,4,SLC16A3
6439,4,SFTPB
4496,4,MT1H
1386,4,ATF2
3737,4,KCNA2
85569,4,GALP
6799,4,SULT1A2
10268,4,RAMP3
54,4,ACP5
10724,4,OGA
3240,4,HP
5562,1,PRKAA1
116,4,ADCYAP1
267012,4,DAOA
319100,4,TAAR6
5603,1,MAPK13
507,4,ATP5F1BP1
438,4,ASMT
23516,4,SLC39A14
10090,4,UST
2222,4,FDFT1
5829,4,PXN
665,4,BNIP3L
4830,4,NME1
5447,4,POR
55556,4,ENOSF1
55867,4,SLC22A11
4831,4,NME2
1462,4,VCAN
5534,4,PPP3R1
7369,4,UMOD
5479,4,PPIB
3609,4,ILF3
819,4,CAMLG
3001,4,GZMA
471,4,ATIC
5478,4,PPIA
4773,4,NFATC2
2751,4,GLUD1P5
5535,4,PPP3R2
5530,4,PPP3CA
3385,4,ICAM3
3381,4,IBSP
222,4,ALDH3B2
64127,4,NOD2
9131,4,AIFM1
6351,4,CCL4
4967,4,OGDH
5428,4,POLG
8314,4,BAP1
327,4,APEH
36,4,ACADSB
2658,4,GDF2
23430,4,TPSD1
9308,4,CD83
1890,4,TYMP
164684,4,WBP2NL
622,4,BDH1
5725,4,PTBP1
200316,4,APOBEC3F
7220,4,TRPC1
4968,4,OGG1
6469,4,SHH
3708,4,ITPR1
2242,1,FES
4145,1,MATK
11040,1,PIM2
5261,1,PHKG2
2241,1,FER
57551,1,TAOK1
4140,1,MARK3
10110,1,SGK2
6787,1,NEK4
9833,1,MELK
55872,1,PBK
1613,1,DAPK3
28996,1,HIPK2
4751,1,NEK2
5170,1,PDPK1
84446,1,BRSK1
2066,1,ERBB4
1457,1,CSNK2A1
2872,1,MKNK2
9263,1,STK17A
1453,1,CSNK1D
9748,1,SLK
1455,1,CSNK1G2
1196,1,CLK2
2444,1,FRK
6788,1,STK3
50488,1,MINK1
10733,1,PLK4
6197,1,RPS6KA3
2931,1,GSK3A
1456,1,CSNK1G3
57396,1,CLK4
5582,1,PRKCG
25865,1,PRKD2
147746,1,HIPK4
817,1,CAMK2D
57016,4,AKR1B10
5580,1,PRKCD
5445,4,PON2
54516,4,MTRF1L
57097,4,PARP11
29119,4,CTNNA3
26575,4,RGS17
10752,4,CHL1
9771,4,RAPGEF5
79611,4,ACSS3
26960,4,NBEA
115,4,ADCY9
2272,4,FHIT
1523,4,CUX1
1338,4,COX6A1P1
6783,4,SULT1E1
9420,4,CYP7B1
3312,4,HSPA8
4502,4,MT2A
2011,1,MARK2
59341,4,TRPV4
7366,4,UGT2B15
6822,4,SULT2A1
1026,4,CDKN1A
23245,4,ASTN2
285195,4,SLC9A9
58986,4,PGAP6
4615,4,MYD88
409,4,ARRB2
2532,4,ACKR1
660,1,BMX
663,4,BNIP2
100379251,4,NPPA-AS1
118,4,ADD1
1841,4,DTYMK
459,4,ASS1P14
55244,4,SLC47A1
2729,4,GCLC
22800,4,RRAS2
23090,4,ZNF423
83938,4,LRMDA
79898,4,ZNF613
2326,4,FMO1
5338,4,PLD2
7033,4,TFF3
3316,4,HSPB2
5304,4,PIP
890,4,CCNA2
221,4,ALDH3B1
8648,4,NCOA1
