0, 67
67, 0
0, 100
100, 0
0, 158
158, 0
0, 180
180, 0
0, 315
315, 0
0, 359
359, 0
0, 463
463, 0
0, 518
518, 0
0, 1071
1071, 0
0, 1426
1426, 0
0, 2212
2212, 0
0, 3003
3003, 0
67, 100
100, 67
67, 158
158, 67
67, 180
180, 67
67, 315
315, 67
67, 359
359, 67
67, 463
463, 67
67, 518
518, 67
67, 1071
1071, 67
67, 1426
1426, 67
67, 2212
2212, 67
67, 3003
3003, 67
100, 158
158, 100
100, 180
180, 100
100, 315
315, 100
100, 359
359, 100
100, 463
463, 100
100, 518
518, 100
100, 1071
1071, 100
100, 1426
1426, 100
100, 2212
2212, 100
100, 3003
3003, 100
158, 180
180, 158
158, 315
315, 158
158, 359
359, 158
158, 463
463, 158
158, 518
518, 158
158, 1071
1071, 158
158, 1426
1426, 158
158, 2212
2212, 158
158, 3003
3003, 158
180, 315
315, 180
180, 359
359, 180
180, 463
463, 180
180, 518
518, 180
180, 1071
1071, 180
180, 1426
1426, 180
180, 2212
2212, 180
180, 3003
3003, 180
315, 359
359, 315
315, 463
463, 315
315, 518
518, 315
315, 1071
1071, 315
315, 1426
1426, 315
315, 2212
2212, 315
315, 3003
3003, 315
359, 463
463, 359
359, 518
518, 359
359, 1071
1071, 359
359, 1426
1426, 359
359, 2212
2212, 359
359, 3003
3003, 359
463, 518
518, 463
463, 1071
1071, 463
463, 1426
1426, 463
463, 2212
2212, 463
463, 3003
3003, 463
518, 1071
1071, 518
518, 1426
1426, 518
518, 2212
2212, 518
518, 3003
3003, 518
1071, 1426
1426, 1071
1071, 2212
2212, 1071
1071, 3003
3003, 1071
1426, 2212
2212, 1426
1426, 3003
3003, 1426
2212, 3003
3003, 2212
