Gene	Score
85	0.027566706069171054
0	0.013776554131504333
97	0.013640738755016998
189	0.009791531325207634
47	0.009143389247985747
200	0.0032154464867582104
17	0.0027791147333487316
528	0.0023839416024369576
162	0.0021043766686252513
184	0.001749898397155204
109	0.0016019932396637282
228	0.0015916540666779568
110	0.0015440910093678815
364	0.0014139346308290129
134	0.0013531394735972803
31	0.0013334195445560313
219	0.0012969992719110387
359	0.0012854523700494642
700	0.0011953065512957022
135	0.0011880970147730402
275	0.0011824484127049828
277	0.0011116078325315911
368	0.0010573477895177426
463	0.0010104568194892682
225	0.0010085969315393605
3	0.0009945997354148313
102	0.0009577023660590488
96	0.0009466283946240213
30	0.0009438678131858767
52	0.0009392560107437057
238	0.0009042377409809643
15	0.0008782787848863543
508	0.0008493446768165349
122	0.0008379692703012779
2	0.0008326830583326371
504	0.0008147800722217736
742	0.0008074693826240472
366	0.0007952980889392629
4	0.0007940599463264949
168	0.000774200684936676
169	0.0007592059547220102
823	0.0007406026597055537
378	0.0007131104372172308
84	0.000708278256900138
518	0.0006862002528555676
232	0.000670759589091065
143	0.0006650977933469443
571	0.0006636841844097514
1333	0.0006395551051054452
28	0.0006307825189525467
972	0.0006284942121540483
301	0.0006281105502583236
296	0.0005804509283873404
339	0.0005781064677424263
83	0.0005736633706381893
755	0.0005723555292004138
427	0.0005577527368249397
128	0.0005550003974589889
430	0.0005538487508442352
100	0.0005511094728855451
315	0.0005300583528254629
27	0.0005296670993057359
48	0.0005273603072047091
119	0.0005270403785260563
561	0.0005260760884086921
757	0.0005257282019733745
138	0.0005190358580494242
221	0.0005150939868589432
180	0.0005148317522737237
402	0.0005102971344560527
1385	0.0005100686330832984
615	0.0005089890554423879
395	0.00050828701207686
906	0.000500675534901807
326	0.000500675534901807
253	0.0004959964789819639
376	0.0004938771465070669
343	0.0004926957174452638
66	0.00048556362596648573
2464	0.0004854562359300994
660	0.00048353657357290544
480	0.00048353657357290544
117	0.00048259977861985523
104	0.00048259977861985523
258	0.00048238821828331383
316	0.00048173297925850373
242	0.0004809039082150075
141	0.00047961709031581467
750	0.0004748850945660593
282	0.0004736776817113872
429	0.000473659627431041
207	0.00047290753847018327
614	0.00047197074351713306
758	0.00046800335421696
62	0.000466950312640807
338	0.00046544910111746043
281	0.0004645940179296023
1322	0.0004635627212657247
536	0.00045841342022869436
327	0.0004581650819549927
127	0.00045508269293097545
64	0.00045228937211713374
2462	0.00044791439446869425
1256	0.0004463505265432955
98	0.00044624579007129306
782	0.0004443508209882134
67	0.0004439104507412019
132	0.00044207224923614204
462	0.00043791060717264995
20	0.0004341599009623875
283	0.000433464291599446
274	0.0004239608462505815
350	0.0004231272752223078
1299	0.0004122450185776838
8	0.0004112262911290073
36	0.00041055385313123734
158	0.000407783261704901
2554	0.0004069436879966657
268	0.0004051866818973543
708	0.0004032373877661601
377	0.00039986323072033203
1426	0.0003996225717547802
763	0.00039861761086450507
252	0.0003891183306622241
1266	0.00038864852106942606
74	0.0003880272378230646
212	0.0003877292448361577
1589	0.000387521543959912
720	0.00038505514451941735
197	0.0003818211581071208
148	0.0003808452726927208
465	0.00037799130128693935
211	0.000376699510564646
438	0.00037442482506931055
706	0.0003731699554118294
1304	0.00036976265830798163
1086	0.0003681774792529983
949	0.00036783469623260807
772	0.00036761973590231545
605	0.000367251163749335
293	0.00036461383058518485
606	0.0003625894432627712
817	0.0003606470491660513
333	0.0003600095779272009
864	0.00035597720032361343
696	0.00035399897580882275
493	0.0003528170052588223
947	0.0003497496584405929
121	0.000348983189386712
426	0.00034741864848156516
876	0.0003456573987124903
244	0.0003438433536376748
1028	0.00034304799640250995
142	0.0003429044442666638
665	0.00034240184148052327
40	0.0003417882098043087
19	0.00033966753512480123
192	0.00033878754008358366
1484	0.00033701516391414547
874	0.00033548090929757287
1307	0.0003349690838608789
1779	0.0003344918112712695
1646	0.0003330995971613847
1067	0.00033237033127562154
205	0.00033156495658410106
437	0.00033073372462123817
265	0.00032762759426741754
1084	0.00032703492472464
182	0.00032610644451391943
347	0.0003253644442944648
1	0.0003248037114171754
479	0.0003246576004116217
193	0.00032204617100635837
816	0.00031970956049834966
345	0.0003194901723152703
820	0.00031928078797412174
257	0.0003191198365602689
357	0.0003190506980163555
929	0.0003189335854026883
607	0.00031818477788608085
95	0.000316263357937817
619	0.00031569624607092185
489	0.0003145691263472723
1119	0.0003133299229279773
436	0.0003128392650067572
16	0.0003127750958904032
358	0.0003125971703055009
1149	0.00031119976803721473
92	0.0003111333573976333
608	0.00031094709054722467
730	0.00031058697326491827
1686	0.00030864836838038817
113	0.0003083002143698947
1543	0.0003082030773265896
336	0.00030769120614744093
335	0.0003076607775066627
399	0.00030756445575805984
1083	0.0003061808971880004
1742	0.0003061580779670323
151	0.00030497838622127287
598	0.0003035106032461351
38	0.0003032366701010943
621	0.000302431842745361
190	0.00030189506367233736
477	0.0003018713610682388
478	0.00030119718246877567
1819	0.0003010317113480433
494	0.0002994908979622725
587	0.0002986712820938755
658	0.0002972711728290875
371	0.00029562998875205283
1073	0.00029441297392872985
137	0.00029441297392872985
540	0.00029441297392872985
767	0.0002941647820332623
1334	0.00029272097998048424
556	0.0002926353073327549
1517	0.00029211034192898485
476	0.00028981784865840814
852	0.0002881294573826005
154	0.0002879541902489584
620	0.0002866682646336892
349	0.000285731469680639
372	0.0002857008757575878
308	0.00028569941851532216
824	0.0002856991888981042
814	0.0002846488446133335
1657	0.00028430108308087615
1920	0.00028400975956385224
821	0.0002839570091507654
1368	0.00028325404477953656
1440	0.00028197168011187475
1575	0.00028065387614142196
1000	0.00028064458053582886
2026	0.00028039975171523744
1694	0.0002802324683240185
300	0.0002796122017039527
201	0.00027756081021377155
264	0.0002770651830798636
797	0.00027702703100410955
39	0.00027701383116390934
1364	0.0002767324115486398
1743	0.00027657936735286064
260	0.0002765330779528551
1690	0.00027570082193564176
1648	0.00027553923277147613
418	0.0002753886031471224
1605	0.00027408497512527665
1687	0.0002740796724740808
944	0.00027318592370922804
925	0.00027173830071982203
822	0.00027165644758344394
14	0.00027148331747942734
514	0.00027091913129637476
2336	0.00026958264639259557
609	0.0002693053839965041
393	0.00026920439069092606
776	0.0002691583664999779
455	0.00026907411671075256
622	0.0002689625805907699
140	0.0002683124580107674
844	0.00026814905470430936
215	0.0002678431425153882
24	0.00026762270334910034
705	0.000267238215560649
